operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,lat,lon
sell,apartment,|Argentina|Capital Federal|Villa Devoto|,"-34.58751,-58.510665",146000.0,USD,2213710.4,146000.0,,90.0,,1622.222222,,3.0,,http://villa-devoto.properati.com.ar/11xt4_venta_departamentos_villa-devoto_balcon_parrilla_patio_terraza_toilette_lujoso_garage_placard_aire-acondicionado_devoto,-34.58751,-58.510665
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6132024,-58.4330886",2477000.0,ARS,2470125.08,162911.22,66.0,62.0,2468.351818,39951.6129,,3.0,,http://caballito.properati.com.ar/11snn_venta_departamentos_caballito_balcon_vestidor_migliorisi-propiedades_cy3,-34.6132024,-58.4330886
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.544171,-58.478875",113360.0,USD,1718809.66,113360.0,,42.0,,2699.047619,,2.0,,http://saavedra.properati.com.ar/yr01_venta_departamentos_saavedra_garage_amenities_belgrano,-34.544171,-58.478875
sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.5451249855,-58.4787020744",115000.0,USD,1743676.0,115000.0,54.0,54.0,2129.62963,2129.62963,1.0,,,http://saavedra.properati.com.ar/12gfo_venta_departamentos_saavedra_zapiola_4500_parrilla_terraza_placard_aire-acondicionado_narvaez-cia-walter-fabian-narvaez-csi-4169,-34.5451249855,-58.4787020744
sell,apartment,|Argentina|Capital Federal|San Cristobal|,"-34.622464,-58.398128",105000.0,USD,1592052.0,105000.0,,48.0,,2187.5,3.0,2.0,,http://san-cristobal.properati.com.ar/11f0i_venta_departamentos_balvanera_balcon_lavadero_garage_amenities_placard_estrenar_re-max-titanium,-34.622464,-58.398128
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.5413646,-58.4633598",158000.0,USD,2395659.2,158000.0,52.0,42.0,3038.461538,3761.904762,,2.0,1400.0,http://nunez.properati.com.ar/11wym_venta_departamentos_nunez_balcon_hidromasaje_lavadero_sauna_garage_deborah-sosa-inversiones-inmobiliarias_akn,-34.5413646,-58.4633598
sell,apartment,|Argentina|Capital Federal|Villa del Parque|,"-34.6128601,-58.4922702",97000.0,USD,1470752.8,97000.0,48.0,43.0,2020.833333,2255.813953,7.0,,,http://villa-del-parque.properati.com.ar/11wik_venta_departamentos_villa-del-parque_lavadero_parrilla_lujoso_garage_laurenzano-propiedades_4yy,-34.6128601,-58.4922702
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6202466,-58.4165902",89500.0,USD,1357034.8,89500.0,43.0,40.0,2081.395349,2237.5,,1.0,,http://almagro.properati.com.ar/v1cq_venta_departamentos_almagro,-34.6202466,-58.4165902
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5929493958,-58.3771653353",330000.0,USD,5003592.0,330000.0,120.0,120.0,2750.0,2750.0,4.0,,,http://recoleta.properati.com.ar/oa74_venta_departamentos_recoleta_basavilbaso_1300,-34.5929493958,-58.3771653353
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5830769724,-58.422257979",210000.0,USD,3184104.0,210000.0,100.0,75.0,2100.0,2800.0,,4.0,,http://palermo.properati.com.ar/10uh6_venta_departamentos_palermo_jardin_patio_vista_di-mitrio-inmobiliaria_d2r,-34.5830769724,-58.422257979
